,Cloudiness / %,Humidity / %,Latitude / °,Name,Temperature / F,Wind Speed / mph
103,75,100,3.57,Tienda Nueva,68.0,2.24
104,40,94,18.11,Corral Nuevo,75.2,11.41
105,88,77,10.2,San Agustin,71.04,2.53
106,90,93,50.52,Holenice,38.44,9.17
107,76,73,48.39,Kirchschlag,42.8,11.41
108,90,96,50.2,Libcice nad Vltavou,38.19,8.05
109,90,93,50.04,Pardubice,38.35,9.17
110,90,77,49.45,Vahlovice,41.0,6.93
111,90,93,49.54,Zdislavice,38.7,9.17
112,75,80,53.64,Alt Steinbeck,38.25,3.36
113,75,86,52.69,Birkenwerder,37.4,3.36
114,75,93,51.16,Brenschede,41.02,4.7
115,75,86,50.88,Cunnersdorf,37.4,8.05
116,90,86,47.99,Ellerding,35.6,9.17
117,75,87,50.42,Gedern,44.6,8.05
118,32,100,53.21,Gramzow,36.75,4.43
119,88,78,48.65,Guntersdorf,40.71,11.41
120,75,81,50.65,Heblos,44.6,5.82
121,90,100,54.15,Hugoldsdorf,37.4,5.82
122,40,65,47.81,Lausheim,42.46,5.82
123,75,70,50.85,Lucherberg,43.3,5.82
124,75,89,48.27,Meringerzell,38.28,8.05
125,90,93,49.82,Naabdemenreuth,36.45,6.67
126,75,93,53.38,Osterforde,42.8,5.82
127,76,85,48.71,Prag,38.73,9.57
128,90,100,49.1,Ruppersbach,36.88,8.05
129,90,75,51.16,Schmidthausen,42.75,9.17
130,90,80,48.46,Stettenhofen,38.59,6.93
131,75,81,52.34,Waltringhausen,43.7,2.24
132,75,52,47.02,Wiederberg,41.0,6.93
133,75,80,51.79,Zabitz,39.2,9.17
134,75,100,57.22,Hollensted,35.6,12.75
135,68,82,27.66,Las Canitas,60.33,1.63
136,75,62,36.23,Zarouria,59.0,21.92
137,88,96,-3.98,El Plateado,56.37,1.19
138,0,80,18.79,Hacienda Vieja,57.99,2.19
139,64,98,-40.67,Pichil,52.5,5.99
140,36,82,57.59,Tagakolga,32.43,13.04
141,75,9,29.67,Abu Ruweish,100.4,19.46
142,75,72,42.51,Itsa,59.0,16.11
143,75,9,30.57,Kafr al Ahrar,100.4,19.46
144,75,100,19.22,La Vega,70.81,2.42
145,0,46,38.46,Onsares,51.87,6.67
146,0,47,45.01,Valenza,50.81,6.93
147,75,82,43.22,Villegar,57.2,8.05
148,40,68,60.66,Anttila,28.4,10.29
149,0,79,57.3,Saltvik,39.2,4.7
150,0,53,66.51,Ulkuniemi,23.0,9.17
151,90,81,44.88,Arveyres,46.4,9.17
152,90,75,48.48,Boersch,43.9,5.82
153,90,80,49.12,Brocourt-en-Argonne,41.0,8.05
154,90,76,48.85,Coudehard,48.18,12.75
155,90,81,48.25,Dompierre,41.59,5.82
156,90,87,46.75,Fay-en-Montagne,44.8,3.36
157,1,86,30.46,Garnier,39.9,3.36
158,90,81,48.52,Hablainville,42.82,5.82
159,90,75,47.77,Laveau,43.72,17.22
160,75,92,46.8,Les Souillats,43.66,8.05
161,90,80,48.68,Matignicourt-Goncourt,42.87,8.05
162,90,36,42.79,Montauban-de-Luchon,50.0,6.93
163,90,75,43.18,Nay,50.9,6.93
164,90,100,46.45,Paray-le-Monial,41.0,5.82
165,90,93,50.84,Recques-sur-Hem,43.38,9.17
166,90,100,46.85,Saint-Fulgent,52.86,9.17
167,75,87,48.4,Saint-Martin,50.38,16.11
168,90,87,47.22,Saligney,43.74,3.36
169,75,81,51.64,Beverston,48.18,10.29
170,48,76,54.58,City of Belfast,46.35,14.99
171,40,76,54.45,Egton,49.32,27.51
172,75,81,52.23,Henfynyw Upper,46.4,19.46
173,75,57,52.05,Little Chesterford,51.98,19.46
174,75,93,50.94,Rye Harbour,50.05,21.92
175,75,70,51.44,Theale,49.17,12.75
176,75,81,52.03,Wormington,49.06,10.29
177,12,76,7.41,Agadji,85.98,5.44
178,8,77,5.51,Damang,87.69,6.11
179,20,40,18.47,Song,89.6,9.17
180,0,42,26.09,Mansal,84.2,9.17
181,80,89,48.08,Avas,39.0,3.65
182,20,51,35.05,Kato Khorion,62.6,5.82
183,80,97,20.34,Lagunilla,50.16,2.98
184,5,52,32.3,Rincon,38.59,11.41
185,75,83,10.3,El Limon,75.2,5.82
186,20,57,-40.08,Piedra Pintada,54.3,15.05
187,75,68,43.98,Brnjica,30.2,4.7
188,20,51,45.24,Godinjak,37.4,3.36
189,75,60,45.28,Velika Vranovina,39.2,8.05
190,75,88,18.47,Boidine,75.2,5.82
191,40,76,54.47,Danby,49.14,27.51
192,75,60,46.52,Libickozma,42.8,14.99
193,12,72,-7.85,Bendung,76.17,3.76
194,90,92,57.72,Boras,35.06,8.05
195,48,90,-6.97,Bulangan,75.72,1.52
196,0,69,46.03,Gara,37.53,3.36
197,68,100,11.57,Igot,78.78,11.81
198,12,89,-6.98,Karangjaya,75.27,1.41
199,20,74,-6.38,Kemirimuka,84.2,5.82
200,56,23,10.1,Koja,98.22,7.56
201,24,93,-3.87,Lalimbue,82.83,5.77
202,44,87,3.02,Mariah Dolok,75.9,1.52
203,12,92,-7.0,Mugassari,76.35,1.07
204,12,96,3.12,Payung,67.8,0.74
205,76,99,-10.01,Praingkareha,82.2,5.1
206,56,87,-5.33,Rejosari,77.7,1.19
207,20,73,-4.01,Tanggobu Dua,80.22,2.98
208,92,93,-25.38,Temba,64.65,3.36
209,75,70,52.83,Ballylusky,46.4,8.05
210,75,87,54.39,Grange,42.8,14.99
211,64,12,13.83,Adwal,83.37,2.53
212,0,28,28.44,Bahadarpur,92.28,4.99
213,0,21,23.56,Chitri,93.0,4.43
214,0,39,30.63,Dhirpur,81.66,4.54
215,0,11,14.16,Hawrah,76.08,4.54
216,8,25,27.5,Mathura,88.23,7.45
217,0,35,29.32,Suratgarh,85.8,8.12
218,8,55,29.93,Udal Walla,69.42,1.74
219,0,20,33.3,Abu Gharib,86.0,9.17
220,0,34,31.41,Ash Shatrah,87.33,11.14
221,0,36,34.23,Qaryat al Fudayli,84.72,4.43
222,0,6,31.05,Chenar,69.8,6.93
223,0,32,35.11,Fathabad,70.5,4.09
224,0,16,33.0,Hosen,88.74,9.17
225,0,18,36.14,Kamalabad,73.4,4.7
226,0,45,40.82,Kuchek,66.2,6.93
227,8,60,35.28,Nurabad,59.79,2.98
228,0,31,12.07,Somba,89.6,9.17
229,20,40,43.73,Antella,51.8,13.87
230,20,39,42.7,Camerata,43.99,20.8
231,20,40,41.07,Castello del Lago,41.99,4.7
232,0,57,46.01,Dasindo,43.14,18.34
233,20,32,42.94,I Forni,47.84,20.8
234,0,43,44.21,Palazzone,49.42,16.11
235,20,56,46.41,Raccolana,46.42,5.82
236,75,49,42.04,San Salvo,46.4,14.99
237,0,45,45.48,Zermeghedo,48.87,4.7
238,20,20,32.48,Khirbat al Kawm,83.46,13.27
239,0,76,38.99,Hiraizumi,34.23,5.77
240,12,18,10.51,Koshika,103.8,8.01
241,0,100,33.68,Mugi,46.11,4.76
242,0,39,35.12,Ohara,48.2,6.93
243,12,19,12.41,Tari,92.46,15.17
244,75,50,-1.27,Kileleshwa,77.81,6.93
245,75,95,57.84,Kobela,32.0,13.87
246,1,100,35.55,Hupori,43.39,4.7
247,0,92,-9.81,Sopo,70.77,1.74
248,0,64,43.0,Ozernoe,58.35,7.78
249,80,91,53.28,Uzynkol',26.4,9.69
250,0,48,17.76,Ban Nongboua,82.4,8.05
251,20,70,6.91,Atigala,86.0,10.29
252,24,77,7.07,Morape,79.05,2.75
253,20,70,6.85,Pamunuwa,86.0,10.29
254,56,60,55.57,Kirkliai,39.54,12.03
255,75,60,54.88,Paluobiai,39.2,4.7
256,0,52,56.56,Stirniene,40.71,12.48
257,0,43,32.52,Oulad Naseur,63.93,3.76
258,40,39,43.21,Lazine,46.4,17.22
259,90,91,41.48,Klenoec,35.6,6.93
260,0,14,16.28,Gao,80.4,21.88
261,0,35,19.47,Ponna,83.82,7.0
262,0,73,21.05,Ahuacatlan,52.68,3.53
263,0,85,18.75,Ayotusco,51.6,2.42
264,40,69,4.57,Cacao,82.4,9.17
265,44,89,27.71,El alamo,57.63,2.98
266,8,91,14.67,El Encino,60.87,2.75
267,68,57,29.67,El Penasco,61.5,1.74
268,1,33,31.31,El Venado,57.2,10.29
269,56,83,28.6,Ignacio Manuel Altamirano,56.1,2.53
270,75,93,-37.28,Laja,57.2,5.82
271,40,88,8.08,Las Blancas,75.2,4.7
272,75,94,-2.33,La Zanja,71.6,9.17
273,20,93,20.89,Los Negritos,64.4,3.36
274,0,82,-32.08,Quinta,64.4,11.81
275,40,76,-32.75,San Felipe,53.6,3.36
276,75,100,-0.82,Santa Ines,48.2,2.24
277,20,49,7.39,Tule,95.97,8.23
278,75,78,5.39,Kampung Pasir Puteh,82.4,2.24
279,75,78,4.39,Kuala Dipang,80.6,2.24
280,88,100,-9.88,Melolo,81.12,3.42
281,20,17,13.05,Dosso,89.67,18.52
282,36,62,7.3,Ago-Binuyo,90.93,8.57
283,24,47,6.0,Amawda,95.7,8.12
284,76,33,12.18,Botoro,90.57,14.5
285,40,46,8.48,Elero,91.4,4.7
286,40,46,8.1,Igbo Aje,91.4,4.7
287,75,70,6.45,Isalu,88.68,9.17
288,12,96,4.4,Kpongbokiri,84.18,10.47
289,90,55,46.49,Loka,39.22,4.7
290,68,51,6.79,Mbu,95.25,8.12
291,0,57,9.55,Numu,93.9,8.23
292,75,70,6.58,Oko-Eko,89.6,9.17
293,80,74,63.12,Otte,26.51,12.75
294,90,80,42.05,Ute,37.9,13.87
295,20,94,12.19,Los Brasiles,73.4,6.93
296,90,75,52.74,Giethoorn,44.6,13.87
297,75,75,52.34,Lemselo,44.6,6.93
298,90,65,51.53,Roosendaal,44.6,11.41
299,90,75,52.22,Wilp,42.8,12.75
300,75,56,61.44,Bruland,41.58,9.17
301,40,68,71.01,Nordmannset,24.8,20.8
302,75,80,60.0,Uggdal,41.0,20.8
303,64,97,-39.48,Ahuriri,62.58,12.82
304,8,16,14.65,Hijal,88.5,3.09
305,92,99,-1.02,Los Machos,72.12,4.21
306,75,93,-6.68,Bambamarca,51.8,2.24
307,0,79,11.39,El Gigante,77.88,23.22
308,0,50,43.39,Laure,55.4,16.11
309,90,93,39.39,Pana,40.41,1.19
310,40,82,-15.95,Tambito,55.4,2.19
311,40,61,14.54,Aguho,80.6,11.41
312,92,100,14.1,Bibirao,79.86,24.9
313,40,69,10.26,Guindarohan,82.4,12.75
314,76,91,6.16,Ligaya,75.27,2.75
315,56,78,15.96,Macalong,71.22,3.42
316,12,61,15.82,Nibaliw Norte,77.07,11.25
317,48,99,7.85,Pangantocan,65.01,1.63
318,12,91,-8.54,Poco,73.65,1.63
319,90,100,4.71,Santa Isabel,61.23,3.36
320,100,100,28.73,Suba,57.18,2.08
321,0,39,30.38,Ambala,81.66,4.54
322,0,43,11.98,Bado,92.37,9.46
323,0,33,36.74,Dakhan,80.58,5.66
324,90,93,42.3,Jaran,40.6,10.29
325,90,87,36.11,Kanna,46.4,5.82
326,90,100,49.35,Labach,41.56,6.93
327,92,76,46.02,Malnas,28.92,3.76
328,92,86,43.56,Tatari,30.2,10.29
329,88,65,52.88,Godzieby,42.06,4.76
330,64,83,52.9,Kolonia Zalesie,39.18,4.43
331,88,85,51.03,Kruszyna,38.28,4.54
332,75,100,54.12,Nowogardek,35.6,5.82
333,75,95,54.03,Parwark,33.8,4.7
334,68,84,54.15,Saduny,39.99,4.43
335,80,70,52.96,Wola Zambrowska,41.07,4.65
336,75,93,37.25,Amorosa,57.2,11.41
337,76,92,-21.93,Carmo,71.13,3.98
338,75,100,41.27,Eira Nova,53.6,4.7
339,90,100,40.23,Lamarosa,55.4,8.05
340,92,98,40.37,Negrelos,47.64,3.09
341,92,98,40.49,Quinta de Cima,45.75,3.98
342,20,88,-20.09,Vila Nova,78.8,2.24
343,90,92,44.79,Bumbuia,30.2,21.92
344,75,98,44.39,Milcovu din Vale,32.0,5.82
345,75,75,36.71,Sanger,44.58,12.75
346,90,100,43.72,Bogojevici,24.84,8.05
347,75,96,44.74,Obrez,32.0,4.7
348,92,77,44.17,Roanda,32.79,3.65
349,40,97,45.26,Tomasevac,32.61,8.05
350,0,58,37.14,Abla,59.0,8.05
351,92,98,54.39,Alekhino,31.62,19.75
352,75,59,56.23,Andreykovo,33.8,20.13
353,0,8,14.32,Arshan,88.95,7.11
354,90,74,54.96,Baryshevo,35.6,17.9
355,64,86,6.83,Beyan,84.09,5.44
356,40,55,56.78,Bogomolovo,35.6,11.18
357,24,91,53.08,Demkino,27.57,13.27
358,48,90,48.59,Izhevka,31.08,6.67
359,12,47,12.16,Karchi,91.83,8.23
360,75,69,55.65,Kirillovka,32.9,13.42
361,80,87,52.25,Klyuchi,38.1,13.27
362,12,94,50.81,Kolotilovka,33.24,9.57
363,56,83,54.02,Krasin,40.26,4.21
364,92,92,53.81,Krasnyy,30.45,17.52
365,0,75,44.94,Kumatyr,42.8,26.84
366,75,69,55.37,Kutuzovo,32.52,13.42
367,0,50,50.72,Laptevka,30.2,8.95
368,12,68,13.56,Malai,81.93,2.98
369,20,78,10.47,Mamon,75.2,8.05
370,75,59,56.01,Matushkino,31.93,20.13
371,100,95,45.84,Novonikolayevka,38.28,20.76
372,75,69,55.3,Pestovka,32.52,13.42
373,0,98,47.56,Plavni,32.0,8.95
374,88,75,59.08,Rabochiy,29.73,4.54
375,90,100,55.53,Sapronovo,32.92,13.42
376,0,50,50.61,Sevryukovo,30.2,8.95
377,76,74,54.27,Sidory,39.99,4.54
378,24,61,55.85,Slobodka,39.18,12.71
379,0,85,53.6,Sredneye Averkino,24.6,10.8
380,76,72,57.47,Tsementnyy,16.95,3.53
381,56,91,57.08,Ustinovo,32.07,18.63
382,32,93,53.13,Zenkino,30.09,16.62
383,0,8,24.78,Al Izdihar,89.6,6.93
384,0,17,32.71,Nazareth,88.66,14.99
385,8,88,-7.66,Loning,80.67,6.11
386,90,79,62.44,Gudmundsbyn,28.4,10.29
387,90,77,49.22,Rok,41.0,6.93
388,1,82,32.46,Tye,60.17,20.8
389,75,55,45.89,Rigonce,38.64,2.24
390,88,99,7.89,Jiyahun,75.54,3.53
391,8,83,8.63,Masumanakole,85.89,3.76
392,0,61,13.59,La Laguneta,77.0,6.93
393,0,11,33.29,Al Qulay`ah,87.8,16.11
394,0,28,35.96,Binnish,80.6,12.75
395,0,22,36.56,Khan Mamit,86.43,13.04
396,0,14,36.69,Mazra`at Bura,80.6,12.75
397,0,17,35.8,Shuraydah,90.57,17.29
398,0,24,34.75,Umm al Qassab,88.95,8.01
399,40,46,8.5,Babo,91.4,4.7
400,0,49,17.82,Ban Dong Wai,79.68,5.77
401,0,61,16.44,Ban Kham Pia,82.4,2.24
402,0,51,17.97,Ban Khui Lum Phuk,80.6,4.7
403,0,61,16.24,Ban Nong Tae,82.4,2.24
404,40,38,18.32,Hang Chat,89.6,8.05
405,20,45,17.49,Loei,84.2,4.7
406,0,52,2.44,Pawong,87.6,7.0
407,68,83,-15.38,Dambe,81.48,5.1
408,48,36,40.93,Burunucu,70.23,7.0
409,0,49,37.24,Cardakli,72.48,4.76
410,75,87,40.87,Duzkoy,57.2,11.41
411,75,13,39.41,Eskikarahisar,68.0,27.51
412,92,77,37.71,Geyre,53.58,8.57
413,32,48,40.18,Olucak,59.25,8.46
414,40,71,40.86,Pelitli,56.25,13.87
415,75,87,40.94,Salpazari,57.2,11.41
416,92,69,40.77,Yenicaga,55.29,12.48
417,48,90,-7.01,Dibe,75.72,1.52
418,0,48,-4.43,Mnazi,88.23,9.8
419,0,35,22.31,Salaya,88.95,9.46
420,88,93,49.09,Kanavy,31.17,6.55
421,0,76,45.85,Novopokrovka,24.06,3.65
422,40,94,53.63,Ozerki,33.8,20.13
423,32,52,43.95,Pokrovka,35.4,4.65
424,64,95,48.35,Rodinskoye,30.54,6.67
425,88,78,47.94,Vasilyevka,33.78,11.25
426,76,78,-15.3,Kasonga,79.32,5.44
427,20,69,0.29,Mwera,80.6,6.93
428,1,70,33.65,Benoit,48.56,4.7
429,40,71,32.84,Macon,35.62,4.65
430,1,62,59.78,Anchor Point,22.23,3.36
431,76,43,33.38,Pinal,59.7,7.11
432,40,75,41.67,Herman,41.68,17.22
433,90,62,34.23,Antlers,57.85,8.05
434,90,93,34.02,Highgrove,55.22,4.7
435,75,75,37.13,Rock Haven,44.6,12.75
436,90,50,38.94,Kannah,53.4,3.36
437,1,85,37.46,Cedar Farms,28.92,5.99
438,32,82,-27.93,Clifton,68.0,11.41
439,0,94,-23.96,Santos,71.96,3.36
440,1,74,32.23,Dooling,37.74,5.21
441,1,79,34.26,North Rome,35.1,2.19
442,1,80,33.36,Woolsey,34.09,3.09
443,1,68,44.31,Augusta,25.52,4.7
444,1,61,36.23,Mid City,49.55,4.7
445,1,73,43.89,Chase,18.61,3.36
446,1,54,41.19,Schneider,28.47,3.36
447,1,68,41.04,Munterville,34.84,9.17
448,1,63,41.92,Putnam,30.87,4.65
449,90,100,34.94,Grapevine,45.41,19.46
450,1,92,45.3,Iberville,22.03,4.7
451,1,73,44.26,Dark Harbor,25.66,4.7
452,40,66,53.08,Barton,49.1,16.11
453,1,86,41.94,Franklin Park,27.75,5.82
454,1,74,39.4,Mount Airy Overview Estates,31.6,6.93
455,1,94,42.03,Matfield Corner,30.49,7.11
456,1,79,42.81,Forest Green Estates,23.2,4.7
457,1,92,47.88,Redby,19.4,3.36
458,56,66,34.74,Mhoon Landing,50.58,6.93
459,92,94,51.33,Dinsmore,27.48,21.09
460,90,65,37.06,Ratcliff Ford,46.4,4.7
461,76,95,46.33,Philipsburg,30.54,1.74
462,0,46,45.31,Lodi,48.69,6.93
463,1,55,41.02,Franklin Lakes,33.51,6.22
464,90,86,43.09,Clark Mills,26.6,5.82
465,75,87,32.58,Livingston,41.83,2.19
466,90,75,39.66,Spring Glen,44.6,3.36
467,1,63,35.76,Drexel,31.55,3.36
468,1,92,46.58,Pine Knoll,16.57,8.23
469,1,63,41.63,Nicholson,25.79,9.17
470,64,68,-37.15,Great Western,67.17,7.11
471,1,73,40.56,Roundhead,25.72,4.7
472,90,64,41.2,Joy,34.21,6.93
473,90,93,44.94,Salem,36.3,9.17
474,1,73,43.38,Cresco,27.91,5.82
475,1,58,40.39,Irish Meeting House,31.46,5.82
476,1,37,38.46,Overlook Heights,31.86,6.93
477,92,77,-35.27,Turner,60.8,5.82
478,92,100,-43.41,Clarkville,51.8,3.36
479,1,72,32.69,Lake Forest Estates,36.72,3.65
480,90,71,43.66,Crooks,33.46,13.87
481,90,79,35.76,Eagle Point Heights,29.14,1.41
482,90,70,36.4,Palmersville,45.05,4.7
483,90,93,28.4,Blanconia,65.86,6.93
484,90,82,31.29,Izoro,62.58,9.17
485,90,75,39.46,Horse Canyon,44.6,3.36
486,1,79,38.43,Willow Point,40.68,4.7
487,1,69,37.89,Dunbrooke,33.3,3.36
488,1,85,37.23,Matoaca,28.94,5.99
489,1,92,38.69,Countsville,26.04,4.99
490,40,68,60.42,Rita,28.4,10.29
491,20,70,47.25,Levis,41.85,9.17
492,48,94,6.71,El Dorado,71.76,3.2
493,40,58,-4.89,Borges,87.8,10.29
494,1,70,41.3,Colon,41.88,12.75
495,0,99,19.06,El Garcero,65.82,1.74
496,75,94,7.77,Las Adjuntas,75.2,4.7
497,1,57,26.93,Punta Gorda,47.28,9.17
498,20,35,19.13,Ban Mon,89.6,4.7
499,32,93,-29.5,Ha Long,52.95,2.75
500,56,22,14.0,As Sanif,88.5,4.43
501,75,71,51.76,Sandhills,49.64,16.11
502,90,100,27.88,Walsingham,47.8,5.82
503,75,55,7.75,Iseke,89.6,11.41
504,92,100,-14.74,Matala,67.17,3.98
505,75,100,54.0,Okole,33.8,4.7
